"Year","Flow","Port","Region","Volume (10^3 m3)","Volume (MCF)","Value (CN$)","Value (US$)","Price (CN$/GJ)","Price (US$/MMBTU)"
"1988","Exports","Monchy","MidWest","8811281.800000","311046722.941106699275209","634914984.77","515219676.88","1.92","1.65"
"1988","Exports","Niagara Falls","East","1836649.400000","64835490.457443984433647","171621931.00","139242819.84","2.49","2.13"
"1988","Exports","Ojibway (Windsor)","MidWest","28215.800000","996044.880230896531465","1910910.00","1578519.61","1.79","1.56"
"1988","Exports","Philipsburg","East","163314.000000","5765141.288569830950737","18827285.00","15223090.71","3.07","2.62"
"1988","Exports","Reagan Field","MidWest","4762.400000","168117.300860213839101","344950.00","280151.29","1.56","1.34"
"1988","Exports","Sprague","MidWest","9866.200000","348286.350106467701023","1145533.00","926108.61","3.09","2.64"
"1988","Exports","Total","Total","35928033.800000","1268294151.619043315691591","2959519970.62","2402154235.95","2.18","1.87"
"1988","Imports","Coutts","MidWest","1096.100000","38693.384317335878758","63201.03","51096.53","1.55","1.32"
"1988","Imports","Niagara Falls","East","69874.600000","2466640.591022824189912","8294106.00","6849008.84","3.17","2.76"
"1988","Imports","Ojibway (Windsor)","MidWest","543079.200000","19171218.137351806562003","53517013.66","43899470.37","2.60","2.25"
"1988","Imports","Total","Total","614049.900000","21676552.112691966630673","61874320.69","50799575.74","2.66","2.31"
"1989","Exports","Aden","MidWest","275369.100000","9720794.102197696682835","16835546.00","14247195.76","1.65","1.48"
"1989","Exports","Cardston","MidWest","11432.600000","403581.776796254144323","934435.00","803434.02","2.18","1.98"
"1989","Exports","Cornwall","East","239042.400000","8438426.650249365994720","24896686.00","21043644.03","2.79","2.49"
"1989","Exports","Emerson","MidWest","7102281.000000","250717350.846375862049297","593007570.76","501670824.57","2.23","1.99"
"1989","Exports","Fort Frances","East","110868.000000","3913747.041779394404922","10949923.00","9255162.05","2.64","2.36"
"1989","Exports","Highwater","East","194860.400000","6878759.552440284892877","22730917.12","19226433.26","3.12","2.79"
"1989","Exports","Huntingdon","West","4889102.800000","172590031.573180306016740","307316864.28","259688218.76","1.63","1.45"
"1989","Exports","Kingsgate","West","14215362.100000","501815955.611158492846537","1262258407.19","1066738713.88","2.34","2.09"
"1989","Exports","Monchy","MidWest","9003089.600000","317817722.777310236149173","579508361.94","489780695.01","1.72","1.53"
"1989","Exports","Niagara Falls","East","1681483.500000","59357984.936373546306338","177971076.00","150436375.07","2.83","2.52"
"1989","Exports","Ojibway (Windsor)","MidWest","142.900000","5044.507452739072231","11517.00","9635.31","2.14","1.89"
"1989","Exports","Philipsburg","East","177428.700000","6263403.775226067359870","19250173.00","16276382.13","2.90","2.59"
"1989","Exports","Reagan Field","MidWest","4716.400000","166493.456613705810250","327826.00","276954.61","1.48","1.32"
"1989","Exports","Sprague","MidWest","11219.300000","396052.081627120175763","1171029.00","990820.05","2.79","2.49"
"1989","Exports","Total","Total","37916398.800000","1338485348.688781071905876","3017170332.29","2550444488.54","2.11","1.88"
"1989","Imports","Coutts","MidWest","2329.400000","82230.060604691356618","142017.66","120248.67","1.66","1.49"
"1989","Imports","Niagara Falls","East","86812.300000","3064557.693068020717426","15416262.00","13033805.90","4.76","4.25"
"1989","Imports","Ojibway (Windsor)","MidWest","1100459.400000","38847275.330558207049967","100199618.84","84784298.97","2.36","2.10"
"1989","Imports","St Clair","MidWest","4580.500000","161696.055894131003280","435146.00","374748.39","2.42","2.20"
"1989","Imports","Total","Total","1194181.600000","42155759.140125050127291","116193044.50","98313101.94","2.52","2.25"
"1990","Exports","Aden","MidWest","240162.400000","8477963.727555648436303","16500088.00","14144281.46","1.85","1.67"
"1990","Exports","Cardston","MidWest","26864.700000","948349.750634005275372","2263790.00","1933684.38","2.18","1.97"
"1990","Exports","Cornwall","East","229923.700000","8116527.769148653762511","26994888.00","23095004.99","3.14","2.83"
"1990","Exports","Emerson","MidWest","8456775.500000","298532309.558370846488525","717011063.05","614880069.63","2.27","2.05"
"1990","Exports","Fort Frances","East","130858.900000","4619445.040638467316944","13495747.00","11567488.95","2.76","2.49"
"1990","Exports","Highwater","East","223685.100000","7896299.188360284441021","28275617.96","24245052.60","3.38","3.06"
"1990","Exports","Huntingdon","West","4562931.800000","161075881.535620082575779","312428264.91","267723285.29","1.77","1.60"
