"Year","Flow","Port","Region","Volume (10^3 m3)","Volume (MCF)","Value (CN$)","Value (US$)","Price (CN$/GJ)","Price (US$/MMBTU)"
"1995","Exports","Sarnia","MidWest","219864.900000","7761442.453783980705902","17053775.00","12330859.68","2.06","1.57"
"1995","Exports","Sprague","MidWest","206912.800000","7304220.865410140695501","20836150.00","15156511.30","2.68","2.06"
"1995","Exports","St Clair","MidWest","179109.000000","6322719.981474055205040","17110420.02","12379392.80","2.53","1.93"
"1995","Exports","Total","Total","78398975.420000","2767559242.780247276175082","5635487128.70","4104480415.14","1.89","1.45"
"1995","Exports","Windsor (Ojibway)","East","14223.800000","502113.821597410886249","1295917.00","940981.15","2.42","1.85"
"1995","Imports","Cardston","MidWest","6998.300000","247046.721529068224050","320886.81","228886.28","1.13","0.85"
"1995","Imports","Chippawa","East","1487.810000","52521.124095589356618","138181.12","101544.03","2.56","1.98"
"1995","Imports","Huntingdon","West","15449.200000","545371.620285909550460","2645275.00","1879602.65","4.41","3.31"
"1995","Imports","Iroquois","East","2535.000000","89487.938367344633406","196195.00","145510.92","2.05","1.61"
"1995","Imports","Loomis","MidWest","17694.100000","624618.749611689419309","735567.00","532424.83","1.12","0.85"
"1995","Imports","Niagara Falls","East","37496.700000","1323669.577348643595836","3338437.68","2462024.97","2.36","1.84"
"1995","Imports","Ojibway (Windsor)","MidWest","212386.500000","7497447.740456031945946","17527498.49","12783367.09","2.20","1.70"
"1995","Imports","Sarnia","MidWest","70887.400000","2502393.405215505312080","6794439.71","4958423.31","2.54","1.96"
"1995","Imports","St Clair","MidWest","483830.400000","17079678.507079960914749","46852743.97","34117177.70","2.55","1.96"
"1995","Imports","Total","Total","866409.210000","30585078.495218837722825","79835913.50","58151834.49","2.44","1.87"
"1995","Imports","Windsor (Ojibway)","East","17643.800000","622843.111229094770371","1286688.72","942872.70","1.92","1.49"
"1996","Exports","Aden","MidWest","193196.700000","6820029.342159515162464","7490425.00","5494524.38","1.06","0.82"
"1996","Exports","Cardston","MidWest","352841.900000","12455658.461781766629542","23669328.72","17370718.65","1.77","1.37"
"1996","Exports","Chippawa","East","1159030.900000","40914905.619348316002784","167410687.69","122706641.57","3.82","2.95"
"1996","Exports","Cornwall","East","453348.100000","16003623.996746663352881","60148017.01","44102724.57","3.51","2.72"
"1996","Exports","Emerson","MidWest","11944002.300000","421634769.894210077435663","1323430242.28","970937015.86","2.93","2.27"
"1996","Exports","Highwater","East","317303.800000","11201129.348372484453440","45392232.32","33302323.32","3.79","2.93"
"1996","Exports","Huntingdon","West","10692993.360000","377472950.990968601912001","731909544.51","537445837.57","1.77","1.37"
"1996","Exports","Iroquois","East","8137433.000000","287259212.139012363808657","1134054008.47","831818543.16","3.69","2.85"
"1996","Exports","Kingsgate","West","22544847.230000","795854792.670390682804627","1338715509.77","982837306.68","1.56","1.21"
"1996","Exports","Monchy","MidWest","15499029.900000","547130663.686324124959469","1425627238.55","1045925003.19","2.43","1.88"
"1996","Exports","Napierville","East","474158.500000","16738251.133866895605154","74758908.00","54803874.06","4.17","3.23"
"1996","Exports","Niagara Falls","East","7609161.280000","268610712.288688442182249","1042437460.75","764740747.15","3.62","2.80"
"1996","Exports","North Portal","MidWest","131400.400000","4638560.511496817265260","8300934.20","6098772.09","1.65","1.28"
"1996","Exports","Ojibway (Windsor)","MidWest","430906.300000","15211406.870414405051697","56570335.62","41509229.40","3.48","2.69"
"1996","Exports","Philipsburg","East","164275.400000","5799079.633321848753723","23861771.00","17503387.20","3.84","2.98"
"1996","Exports","Reagan Field","MidWest","2043.800000","72148.105891589334021","92431.00","67789.47","1.14","0.88"
"1996","Exports","Sarnia","MidWest","32387.000000","1143292.252427294138897","3963725.00","2896466.73","3.23","2.49"
"1996","Exports","Sarnia/Blue Water","MidWest","1951.600000","68893.357206197154460","370809.00","271595.25","5.02","3.88"
"1996","Exports","Sprague","MidWest","241366.500000","8520469.615756090121922","22020267.99","16155019.77","2.42","1.87"
"1996","Exports","St Clair","MidWest","379331.600000","13390770.351710543408866","52077290.42","38175501.86","3.63","2.80"
"1996","Exports","Total","Total","80761009.570000","2850941320.270094719537777","7542301167.30","5534163021.94","2.46","1.90"
"1996","Imports","Cardston","MidWest","2761.700000","97490.666425678766894","169092.04","125161.61","1.62","1.26"
"1996","Imports","Chippawa","East","9152.700000","323099.113804652949182","1955648.00","1432955.08","5.62","4.34"
"1996","Imports","Cornwall","East","622.800000","21985.439059243486266","81081.10","59468.90","3.44","2.66"
"1996","Imports","Corunna","MidWest","29295.700000","1034166.388965766539206","4567021.00","3380227.94","4.10","3.20"
"1996","Imports","Emerson","MidWest","9602.900000","338991.606843303266326","1773019.25","1302097.40","4.90","3.80"
"1996","Imports","Huntingdon","West","40265.100000","1421396.760218922445197","5893471.00","4342190.29","3.75","2.91"
"1996","Imports","Loomis","MidWest","28471.100000","1005057.215799016091584","1444443.16","1068647.12","1.34","1.04"
"1996","Imports","Niagara Falls","East","77903.700000","2750075.544058424503947","11909585.28","8733170.15","4.05","3.13"
"1996","Imports","Ojibway (Windsor)","MidWest","793662.300000","28017042.598376720568830","99039325.55","72687570.12","3.37","2.61"
"1996","Imports","Sarnia","MidWest","9515.600000","335909.832871126072440","1019643.05","743155.53","2.82","2.17"
"1996","Imports","Sarnia/Blue Water","MidWest","49542.100000","1748883.783585335133209","6324685.16","4611941.74","3.44","2.65"
"1996","Imports","St Clair","MidWest","311807.900000","11007118.791972843676007","47233664.28","34604544.23","4.00","3.10"
"1996","Imports","Total","Total","1362603.600000","48101217.741981033499088","181410678.87","133091130.11","3.56","2.76"
"1997","Exports","Aden","MidWest","182921.300000","6457297.838451502126523","9297437.45","6727974.46","1.39","1.06"
"1997","Exports","Cardston","MidWest","466306.300000","16461060.920987975080292","35544830.87","25701917.58","2.00","1.53"
"1997","Exports","Chippawa","East","894144.300000","31564153.850064106546671","144734578.82","104620201.24","4.29","3.27"
"1997","Exports","Cornwall","East","454154.350000","16032085.397262904619446","62660762.88","45297966.29","3.65","2.78"
"1997","Exports","Emerson","MidWest","12122207.500000","427925584.866336437934788","1421971499.93","1028768847.34","3.11","2.38"
"1997","Exports","Highwater","East","320153.400000","11301722.969347468779813","43790687.99","31646048.29","3.63","2.77"
"1997","Exports","Huntingdon","West","10454596.820000","369057323.819959446254556","926747200.90","670163248.31","2.28","1.74"
"1997","Exports","Iroquois","East","8563980.000000","302316731.526300628639232","1164934438.03","841921211.52","3.61","2.75"
"1997","Exports","Kingsgate","West","23985127.160000","846698059.576727346666173","1930545003.45","1395489819.84","2.11","1.61"
"1997","Exports","Monchy","MidWest","15451055.030000","545437104.629226937175328","1587467951.47","1147289762.39","2.71","2.07"
"1997","Exports","Napierville","East","503258.000000","17765491.474111686595214","81925213.00","59185574.57","4.32","3.29"
"1997","Exports","Niagara Falls","East","8147130.570000","287601545.687916904359274","1175933298.22","849595379.98","3.82","2.92"
"1997","Exports","North Portal","MidWest","174575.858000","6162695.708532666098070","14037098.34","10141353.79","2.13","1.63"
"1997","Exports","Ojibway (Windsor)","MidWest","322235.800000","11375233.692367649633708","37915782.77","27492966.27","3.13","2.39"
"1997","Exports","Philipsburg","East","180237.500000","6362557.116956322825877","23883466.61","17266050.80","3.52","2.68"
"1997","Exports","Reagan Field","MidWest","1647.900000","58172.455083056103106","73307.00","52984.44","1.10","0.84"
"1997","Exports","Sarnia","MidWest","3959.400000","139770.628470084552863","532730.00","378159.55","3.57","2.67"
"1997","Exports","Sprague","MidWest","206375.500000","7285253.658591689306343","21582502.71","15616949.45","2.78","2.12"
"1997","Exports","St Clair","MidWest","368133.800000","12995477.240763856333546","54960954.55","39854373.76","3.95","3.02"
"1997","Exports","Total","Total","82802200.488000","2922997323.057458669630823","8738538744.99","6317210789.87","2.78","2.12"
"1997","Imports","Cardston","MidWest","1101.200000","38873.419222926986313","66261.72","49061.06","1.59","1.24"
"1997","Imports","Cornwall","East","4407.700000","155596.049681161712293","89927.27","65554.21","0.54","0.41"
"1997","Imports","Corunna","MidWest","202802.000000","7159105.671311331891163","25057204.00","18106035.28","3.26","2.48"
"1997","Imports","Emerson","MidWest","25451.600000","898465.961400516241264","3824064.87","2830362.10","3.98","3.11"
"1997","Imports","Huntingdon","West","12715.800000","448879.971081452027403","1739972.00","1290206.14","3.62","2.83"
"1997","Imports","Iroquois","East","4872.700000","172010.996955645047414","819288.50","574931.68","4.44","3.28"
"1997","Imports","Niagara Falls","East","5255.100000","185510.084778790052469","524382.17","382363.90","2.63","2.03"
"1997","Imports","Ojibway (Windsor)","MidWest","786620.100000","27768446.164621093595514","103595098.91","74739390.13","3.52","2.68"
"1997","Imports","Sarnia","MidWest","31297.800000","1104842.444746934464468","4071375.46","2895205.14","3.45","2.59"
"1997","Imports","Sprague","MidWest","17245.600000","608786.268208236138018","1528730.00","1114397.14","2.33","1.79"
"1997","Imports","St Clair","MidWest","442175.500000","15609220.470039367632676","47436828.15","34343809.16","2.86","2.18"
"1997","Imports","Total","Total","1540807.300000","54391979.762664573084204","189186273.82","136704160.22","3.27","2.49"
"1997","Imports","Willow Creek","MidWest","6862.200000","242242.260617117295209","433140.77","312844.26","1.70","1.29"
"1998","Exports","Aden","MidWest","229459.400000","8100137.532547486853912","16227577.08","10837902.23","1.92","1.36"
"1998","Exports","Cardston","MidWest","477390.500000","16852343.842665024936545","37629366.53","25557780.65","2.06","1.47"
"1998","Exports","Chippawa","East","1253890.300000","44263533.682765788002089","178399314.76","119979857.81","3.77","2.67"
"1998","Exports","Cornwall","East","310068.800000","10945726.889166276002488","44048153.08","30018215.07","3.76","2.70"
"1998","Exports","Emerson","MidWest","13737168.040000","484935245.327564685481852","1463172575.46","986904556.56","2.82","2.01"
"1998","Exports","Highwater","East","258918.500000","9140072.098684544956465","31349826.15","21353430.19","3.21","2.31"
"1998","Exports","Huntingdon","West","11978821.160000","422863909.143796350162269","1080774720.64","727148985.27","2.32","1.64"
"1998","Exports","Iroquois","East","9006190.800000","317927198.120294381780969","1075624400.55","726034526.40","3.17","2.25"
"1998","Exports","Kingsgate","West","24187179.750000","853830710.354195731124540","2079875975.04","1400032098.68","2.25","1.60"
"1998","Exports","Monchy","MidWest","15815228.180000","558292767.115318358194289","1468791110.11","991574665.53","2.45","1.74"
"1998","Exports","Napierville","East","474712.100000","16757793.746364000926274","85152428.31","57321315.65","4.76","3.38"
"1998","Exports","Niagara Falls","East","8636563.650000","304879004.188106117515032","1130953599.64","762477823.15","3.47","2.47"
"1998","Exports","North Portal","MidWest","120728.540000","4261833.588441617857186","11181924.79","7598366.26","2.42","1.73"
"1998","Exports","Ojibway (Windsor)","MidWest","289630.000000","10224217.589480878174955","33067462.86","22324805.81","3.03","2.16"
"1998","Exports","Philipsburg","East","152452.600000","5381723.421199780851621","18592566.03","12559453.83","3.23","2.30"
"1998","Exports","Reagan Field","MidWest","1737.800000","61346.011556122881229","146269.68","97660.90","1.84","1.29"
"1998","Exports","Sarnia","MidWest","172145.100000","6076887.613033679941702","17657526.47","11530302.60","2.72","1.87"
"1998","Exports","Sarnia/Blue Water","MidWest","93139.200000","3287903.348790447842119","6369386.29","4236398.94","1.81","1.27"
"1998","Exports","Sprague","MidWest","205049.500000","7238444.583138001344248","22170691.22","14964980.49","2.86","2.04"
"1998","Exports","St Clair","MidWest","738452.100000","26068069.432755903732833","87844472.39","58633796.27","3.16","2.23"
"1998","Exports","Total","Total","88138926.020000","3111388867.629865178562617","8889029347.08","5991186922.29","2.65","1.88"
"1998","Imports","Corunna","MidWest","88791.600000","3134428.886918310750124","10303531.00","7073476.06","3.06","2.21"
"1998","Imports","Emerson","MidWest","7500.000000","264757.214104569921321","507307.00","346212.80","1.75","1.26"
"1998","Imports","Huntingdon","West","7464.400000","263500.499861620229426","973399.00","657401.89","3.34","2.38"
"1998","Imports","Iroquois","East","100922.200000","3562650.735107230201781","12593823.06","8456754.00","3.29","2.33"
"1998","Imports","Kingsgate","West","30745.000000","1085328.073019333630802","2003795.00","1367494.39","1.72","1.24"
"1998","Imports","Loomis","MidWest","3975.600000","140342.504052550423893","286697.00","188455.27","1.95","1.35"
"1998","Imports","Ojibway (Windsor)","MidWest","637406.000000","22501044.908471666035921","77482601.16","52948485.15","3.24","2.34"
"1998","Imports","Sarnia","MidWest","81089.600000","2862540.878513857745592","8887141.52","6165492.56","2.90","2.12"
"1998","Imports","Sarnia/Blue Water","MidWest","1677.000000","59199.713073781834407","144600.00","93932.70","2.28","1.57"
"1998","Imports","Sault Ste Marie","MidWest","4377.000000","154512.310151427006083","498048.00","345674.63","3.18","2.33"
"1998","Imports","St Clair","MidWest","141697.900000","5002072.166462391767244","13321827.04","9222375.60","2.49","1.82"
"1998","Imports","Total","Total","1107407.200000","39092539.353512304503187","127138681.51","86955094.26","3.05","2.20"
"1998","Imports","Willow Creek","MidWest","1760.900000","62161.463775564956593","135911.73","89339.20","2.08","1.44"
"1999","Exports","Aden","MidWest","330826.000000","11678476.015114459838796","34900552.18","23529796.17","2.89","2.05"
"1999","Exports","Cardston","MidWest","92472.700000","3264375.257697021728428","9463248.43","6343461.77","2.71","1.92"
"1999","Exports","Chippawa","East","1232170.840000","43496815.853238369038979","183669445.38","123512229.08","3.94","2.80"
"1999","Exports","Cornwall","East","259804.300000","9171341.690718388694483","38903803.94","26123580.57","3.97","2.81"
"1999","Exports","East Hereford","East","492870.100000","17398788.612192105010440","55144364.00","37348671.21","2.97","2.12"
"1999","Exports","Emerson","MidWest","14345342.500000","506404388.756784844872841","1672722826.58","1127306093.43","3.10","2.20"
"1999","Exports","Highwater","East","81033.400000","2860556.964456167501641","11576551.69","7808126.68","3.78","2.69"
"1999","Exports","Huntingdon","West","11378881.620000","401685466.311586058096309","1307169850.51","879943196.30","2.95","2.09"
"1999","Exports","Iroquois","East","10120836.600000","357275267.016475664928472","1282555744.39","864463732.95","3.36","2.39"
"1999","Exports","Kingsgate","West","22834673.750000","806085947.604900338323787","2483797335.08","1673544696.39","2.86","2.04"
"1999","Exports","Monchy","MidWest","21911913.186000","773511612.110206778913886","2228280405.20","1502210829.76","2.68","1.91"
"1999","Exports","Napierville","East","529182.000000","18680633.609904602680591","101190217.00","68108792.43","5.07","3.60"
"1999","Exports","Niagara Falls","East","10234170.950000","361276078.585589300136615","1372213028.76","924635603.83","3.55","2.52"
"1999","Exports","North Portal","MidWest","94895.100000","3349888.307756609752088","10298216.03","6915018.02","2.71","1.92"
"1999","Exports","Ojibway (Windsor)","MidWest","191875.700000","6773396.771515230246987","24982514.00","16798841.52","3.45","2.45"
"1999","Exports","Philipsburg","East","175011.100000","6178060.169783506260944","26849861.74","18087929.50","4.08","2.90"
"1999","Exports","Reagan Field","MidWest","2537.500000","89576.190772046156708","343256.06","231366.04","2.88","2.05"
"1999","Exports","Sarnia","MidWest","207431.940000","7322547.006760840219367","29854903.45","20188133.91","3.82","2.72"
"1999","Exports","Sarnia/Blue Water","MidWest","3716.600000","131199.554925472609277","408398.52","268823.84","2.82","1.96"
"1999","Exports","Sprague","MidWest","129652.700000","4576865.020418076351725","14805708.49","9897654.06","3.03","2.14"
"1999","Exports","St Clair","MidWest","890775.100000","31445217.849295957616199","117845979.32","79440392.85","3.51","2.49"
"1999","Exports","Total","Total","95540073.686000","3372656499.260091838978563","11006976210.75","7416706970.27","3.03","2.16"
"1999","Imports","Cardston","MidWest","752.400000","26560.443718970454506","96561.88","65624.40","3.39","2.43"
"1999","Imports","Corunna","MidWest","70127.100000","2475554.083897678043927","9810860.83","6671962.84","3.71","2.66"
"1999","Imports","Huntingdon","West","2348.360000","82899.366841947709388","217554.89","144856.60","2.35","1.65"
"1999","Imports","Iroquois","East","400475.400000","14137166.829521770809169","53784875.61","36361124.82","3.54","2.53"
"1999","Imports","Loomis","MidWest","3827.900000","135128.551982784426910","403814.22","274097.11","2.84","2.03"
"1999","Imports","Niagara Falls","East","139.700000","4931.544374721122401","18616.37","12254.02","3.53","2.45"
"1999","Imports","Ojibway (Windsor)","MidWest","640038.100000","22593960.570237617834576","90002379.98","60707655.00","3.72","2.65"
"1999","Imports","Sarnia","MidWest","56754.800000","2003499.031341605996080","8471680.00","5765428.24","3.96","2.84"
"1999","Imports","Sault Ste Marie","MidWest","3593.900000","126868.126902721845364","462534.00","315195.32","3.44","2.47"
"1999","Imports","St Clair","MidWest","180974.300000","6388566.865669955774945","21502925.77","14522773.10","3.11","2.22"
"1999","Imports","St Stephen","East","23734.900000","837864.800140074216741","4203383.00","2851135.29","4.67","3.34"
"1999","Imports","Total","Total","1425104.260000","50307551.158153957378927","193117687.12","130487061.98","3.58","2.55"
"1999","Imports","Willow Creek","MidWest","42337.400000","1494550.943524109144920","4142500.57","2794955.26","2.63","1.87"
"2000","Exports","Aden","MidWest","374145.200000","13207685.443012951216889","58014800.82","39043647.23","4.27","3.03"
"2000","Exports","Cardston","MidWest","755.600000","26673.406796988404340","83524.19","57645.43","2.90","2.11"
"2000","Exports","Chippawa","East","1053572.970000","37192139.252410349677114","221743809.16","148641224.80","5.58","3.94"
"2000","Exports","Cornwall","East","234189.320000","8267108.258165818502110","57455854.69","38512820.84","6.51","4.60"
"2000","Exports","East Hereford","East","963048.500000","33996538.387677987449697","162658865.09","109046308.82","4.50","3.18"
"2000","Exports","Elmore","MidWest","2059137.300000","72689527.334240803393384","716590796.27","470279532.02","8.78","6.08"
"2000","Exports","Emerson","MidWest","13902167.900000","490759899.095730560465843","2655412294.73","1781053583.34","5.07","3.59"
"2000","Exports","Highwater","East","410124.400000","14477785.810707770165288","107534609.87","71217964.58","6.94","4.85"
"2000","Exports","Huntingdon","West","10089943.520000","356184711.577021050669081","2183359123.36","1458393355.66","5.60","3.94"
"2000","Exports","Iroquois","East","10280141.360000","362898878.276635281757696","2173589701.15","1457531773.22","5.61","3.97"
"2000","Exports","Kingsgate","West","23588356.820000","832691684.929030946234811","4565273382.55","3054540599.28","5.10","3.60"
"2000","Exports","Monchy","MidWest","22217852.170000","784311552.522183124445465","4085476856.16","2738123776.36","4.86","3.44"
"2000","Exports","Napierville","East","547207.500000","19316951.098283526029477","112448936.00","75669641.23","5.45","3.87"
"2000","Exports","Niagara Falls","East","11972640.260400","422645717.442628876750773","2630794293.93","1760819316.31","5.82","4.11"
"2000","Exports","North Portal","MidWest","13186.000000","465478.483357714530994","1444222.35","969845.27","2.06","1.46"
"2000","Exports","Ojibway (Windsor)","MidWest","134128.200000","4734854.475314743376122","22379952.00","15197058.91","4.42","3.17"
"2000","Exports","Philipsburg","East","212730.000000","7509573.620862021248289","49530325.92","33259271.67","6.18","4.38"
"2000","Exports","Reagan Field","MidWest","3009.500000","106238.244779693757089","721720.44","482742.07","5.11","3.61"
"2000","Exports","Sprague","MidWest","80453.000000","2840068.286180661850662","14890732.81","9890933.60","4.93","3.46"
"2000","Exports","St Clair","MidWest","271928.700000","9599344.672943648368500","65569372.55","43770608.71","6.39","4.50"
"2000","Exports","St Stephen","East","3305433.900000","116684996.102773808380703","799371078.95","534190441.09","6.35","4.47"
"2000","Exports","Total","Total","101714152.120400","3590607406.720738326674327","20684344252.99","13840692090.42","5.36","3.78"
"2000","Imports","Corunna","MidWest","226119.400000","7982232.319866251715616","39309349.48","26333746.26","4.60","3.25"
"2000","Imports","Courtright","MidWest","254600.100000","8987628.424899321656711","92774477.82","60897797.28","9.45","6.54"
"2000","Imports","Huntingdon","West","24861.200000","877624.273506204497055","7562391.80","4993910.02","7.71","5.37"
"2000","Imports","Iroquois","East","209136.800000","7382730.204632615829488","33143577.74","22597990.32","4.18","3.01"
"2000","Imports","Loomis","MidWest","54629.300000","1928466.836864370880375","9279619.33","6251327.95","4.55","3.23"
"2000","Imports","Ojibway (Windsor)","MidWest","880793.780000","31092867.652457794169934","194084494.58","130110976.29","5.84","4.13"
"2000","Imports","Sarnia","MidWest","200505.300000","7078029.952160136459392","44619868.00","29726435.73","5.91","4.15"
"2000","Imports","St Clair","MidWest","509198.800000","17975207.428452010460370","96685856.37","63988947.74","5.04","3.52"
"2000","Imports","Total","Total","2363018.780000","83416835.875943947720575","517857640.16","345173178.72","5.79","4.07"
"2000","Imports","Willow Creek","MidWest","3174.100000","112048.783105242051634","398005.04","272047.13","3.37","2.43"
"2001","Exports","Aden","MidWest","307629.100000","10859603.132466153437742","40712527.16","26346794.04","3.59","2.45"
"2001","Exports","Cardston","MidWest","13123.900000","463286.293624928692054","1350746.09","865759.12","2.78","1.88"
"2001","Exports","Chippawa","East","1524866.420000","53829251.365441205541877","336674738.53","216927974.20","5.84","3.97"
"2001","Exports","Cornwall","East","260322.610000","9189638.532270727312693","76859454.44","49902048.80","7.84","5.37"
"2001","Exports","East Hereford","East","1112858.800000","39284986.077300634287610","203612603.11","131863721.62","4.86","3.32"
"2001","Exports","Elmore","MidWest","14998349.760000","529456173.149805985913052","3511751515.76","2278128398.96","5.89","4.03"
"2001","Exports","Emerson","MidWest","11080611.250000","391156235.350100819546696","2475666221.06","1611270611.21","5.93","4.07"
"2001","Exports","Highwater","East","137785.000000","4863943.032719755547891","78922935.19","52504870.63","15.15","10.64"
"2001","Exports","Huntingdon","West","9171359.550000","323757813.867912272873315","2171987231.74","1412463228.49","6.16","4.23"
"2001","Exports","Iroquois","East","9068483.717300","320126198.019333630802386","2161686818.74","1404403218.11","6.33","4.34"
"2001","Exports","Kingsgate","West","22231394.943800","784789625.463854639110831","5494818454.62","3569630281.54","6.50","4.46"
"2001","Exports","Monchy","MidWest","21150758.096000","746642105.292885020530703","4610394652.01","2994846752.96","5.78","3.96"
"2001","Exports","Napierville","East","842323.200000","29734819.174352862766776","174541827.56","112815112.38","5.49","3.74"
"2001","Exports","Niagara Falls","East","9294841.725000","328116853.420522002382949","2408040790.38","1568550498.51","6.86","4.72"
"2001","Exports","North Portal","MidWest","21803.720000","769692.288575479104641","4010690.29","2592380.78","3.86","2.63"
"2001","Exports","Ojibway (Windsor)","MidWest","7092.500000","250372.072138221622261","928052.00","593129.47","3.47","2.34"
"2001","Exports","Philipsburg","East","170012.800000","6001615.372015656682579","52447643.44","34031080.97","8.19","5.60"
"2001","Exports","Reagan Field","MidWest","3146.800000","111085.066845901417116","842194.63","547304.81","5.85","4.01"
"2001","Exports","Sarnia","MidWest","7262.800000","256383.825946489389942","356474.00","232933.72","1.31","0.90"
"2001","Exports","Sprague","MidWest","35750.700000","1262034.097905099718154","9494313.93","6253799.76","7.05","4.90"
"2001","Exports","St Clair","MidWest","400527.040000","14138989.771193285474569","97271256.07","63226936.81","6.43","4.41"
"2001","Exports","St Stephen","East","4451100.440000","157128126.959203384373770","1064829414.33","691519741.79","6.12","4.19"
"2001","Exports","Total","Total","106291404.872100","3752188831.626414156529607","24977200555.08","16229516578.66","6.15","4.22"
"2001","Imports","Cardston","MidWest","9947.100000","351142.197922608995247","1244479.44","803449.12","3.39","2.31"
"2001","Imports","Corunna","MidWest","119591.200000","4221684.392456325649957","40125303.34","26193875.17","8.88","6.11"
"2001","Imports","Courtright","MidWest","4912731.400000","173424143.881072471462633","1114822316.10","721035032.85","5.94","4.06"
"2001","Imports","Huntingdon","West","19253.100000","679652.949183559353624","4796603.21","3114345.35","6.27","4.30"
"2001","Imports","Loomis","MidWest","212993.400000","7518871.894221373743983","37677202.51","24289447.89","4.77","3.24"
"2001","Imports","Ojibway (Windsor)","MidWest","780852.800000","27564854.927167055447891","221734329.11","143722914.60","7.53","5.15"
"2001","Imports","Sarnia","MidWest","424370.300000","14980679.783562742517600","121534179.00","79245985.61","7.58","5.22"
"2001","Imports","St Clair","MidWest","822988.700000","29052292.726872221814286","184673657.29","119297700.40","5.96","4.06"
"2001","Imports","Total","Total","7361744.100000","259876647.848900586843045","1734736235.24","1122828197.60","6.20","4.23"
"2001","Imports","Willow Creek","MidWest","59016.100000","2083325.096442227857824","8128165.24","5125446.61","3.72","2.47"
"2002","Exports","Aden","MidWest","349455.600000","12336118.814565459279627","43953605.84","27996722.85","3.44","2.31"
"2002","Exports","Cardston","MidWest","91502.700000","3230133.324672830685280","11234067.36","7259779.05","3.24","2.21"
"2002","Exports","Chippawa","East","2947441.750000","104047528.862066433586051","635848351.28","404407930.00","5.71","3.83"
"2002","Exports","Cornwall","East","268793.810000","9488680.040553745008314","63305796.13","40207814.20","6.27","4.20"
"2002","Exports","East Hereford","East","1361323.740000","48056037.452908516851215","245813566.44","156544195.65","4.80","3.23"
"2002","Exports","Elmore","MidWest","16078091.180000","567572083.858140966623975","2927078541.30","1865376598.45","4.56","3.06"
"2002","Exports","Emerson","MidWest","11236398.210000","396655664.886556828899897","1845303934.41","1175352131.24","4.36","2.93"
"2002","Exports","Huntingdon","West","9479919.360000","334650271.958610328213965","1436969288.73","914908113.33","3.97","2.67"
"2002","Exports","Iroquois","East","9138710.200000","322605260.408135600878670","1722605734.97","1098287317.07","5.01","3.37"
"2002","Exports","Kingsgate","West","19728716.720000","696442676.886059791356803","2973955669.13","1892797218.79","3.99","2.68"
"2002","Exports","Monchy","MidWest","21747446.740000","767705788.369321487271546","3522147461.62","2245783900.58","4.29","2.89"
"2002","Exports","Napierville","East","533694.000000","18839911.549909911945263","124922207.85","79552347.57","6.21","4.17"
"2002","Exports","Niagara Falls","East","9273004.670000","327345984.374382233166811","1846246322.31","1176526034.41","5.28","3.55"
"2002","Exports","North Portal","MidWest","16259.200000","573965.399409203101954","2484381.34","1581221.90","3.17","2.13"
"2002","Exports","Ojibway (Windsor)","MidWest","35953.800000","1269203.723263051471621","7099645.00","4547032.68","5.23","3.54"
"2002","Exports","Philipsburg","East","185517.500000","6548946.195685940050472","41495618.29","26407672.51","5.96","4.00"
"2002","Exports","Reagan Field","MidWest","5312.800000","187546.950279301210392","962209.68","613597.29","3.85","2.59"
"2002","Exports","Sprague","MidWest","44094.740000","1556586.735875379132323","8230938.18","5250370.66","4.97","3.34"
"2002","Exports","St Clair","MidWest","527462.160000","18619921.603623855542794","102876060.15","65941128.95","5.19","3.51"
"2002","Exports","St Stephen","East","4036885.650000","142505946.447028788640358","712845082.62","454308283.04","4.49","3.02"
"2002","Exports","Total","Total","107085984.530000","3780238257.841049652917331","18275378482.63","11643649410.23","4.47","3.01"
"2002","Imports","Cardston","MidWest","74091.900000","2615515.337561917887134","13327486.44","8488470.63","4.83","3.24"
"2002","Imports","Corunna","MidWest","136507.700000","4818853.114109653259825","24852480.54","15722170.19","4.72","3.15"
"2002","Imports","Courtright","MidWest","5281848.510000","186454332.910663149749421","937681794.11","597919136.82","4.66","3.13"
"2002","Imports","Huntingdon","West","38163.200000","1347197.668442069709509","5112575.39","3274855.55","3.52","2.38"
"2002","Imports","Loomis","MidWest","316150.200000","11160406.158747013538614","49236802.87","31388558.51","4.22","2.84"
"2002","Imports","Ojibway (Windsor)","MidWest","333421.060000","11770084.129252353868100","55766710.18","35262911.67","4.43","2.96"
"2002","Imports","Rainy River","East","3406.900000","120266.847031047901992","827040.44","528276.60","6.49","4.37"
"2002","Imports","Sarnia","MidWest","594712.100000","20993909.172037119667429","110424642.00","69990748.40","4.95","3.31"
"2002","Imports","Sault Ste Marie","MidWest","15537.100000","548474.574835215109936","3105821.42","1992411.95","5.34","3.62"
"2002","Imports","St Clair","MidWest","1268917.760000","44794017.475388169376820","250805636.40","159497589.13","5.27","3.53"
"2002","Imports","Total","Total","8332961.230000","294161546.732825376025658","1488708313.19","948004996.84","4.72","3.17"
"2002","Imports","Willow Creek","MidWest","270204.800000","9538489.344757665956878","37567323.40","23939867.40","3.76","2.53"
"2003","Exports","Aden","MidWest","430094.670000","15182755.550723246106993","94352373.27","67357002.96","5.95","4.48"
"2003","Exports","Cardston","MidWest","29419.000000","1038518.997565645668704","6153689.65","4478215.09","5.57","4.28"
